,Unnamed: 0,area,bathroom,direction,price,rooms,type,latitude,longitude
0,0, 275mt, 3,"Los Cacicazgos, Santo Domingo De Guzmán","US$ 375,000", 3,Venta,18.441375,-69.9697149
1,1, 160mt, 2,"Los Cacicazgos, Santo Domingo De Guzmán",US$ 800, 3,Alquiler,18.441375,-69.9697149
2,2, 89mt, 2,"Bella Vista, Santo Domingo De Guzmán","US$ 1,300", 2,Alquiler,18.4522046,-69.9484723
3,3, 58mt, 1,"Santa Lucía, Río San Juan","RD$ 3,000,000", 2,Venta,-31.5272176,-68.4289108
4,4, 59mt, 1,"Santa Lucía, San Antonio De Guerra","RD$ 3,100,000", 2,Venta,null,null
5,5, 120mt, 2,"Arroyo Hondo, Santo Domingo De Guzmán","RD$ 4,950,000", 3,Venta,18.5051048,-69.931862
6,6, 201mt, 3,"Ensanche Naco, Santo Domingo De Guzmán","US$ 265,000", 3,Venta,18.48063285,-69.9245812964471
7,7, 205mt, 3,"Mirador Norte, Santo Domingo De Guzmán","US$ 210,000", 3,Venta,18.4505505,-69.9579591088741
8,8, 200mt, 2,"Ensanche Serralles, Santo Domingo De Guzmán","US$ 190,000", 3,Venta,null,null
9,9, 130mt, 2,"Colinas De Los Ríos, Santo Domingo De Guzmán","RD$ 4,500,000", 3,Venta,null,null
10,10, 86mt, 2,"Villa Duarte Viejo O La Francia, Santo Domingo Este","RD$ 3,995,000", 3,Venta,null,null
11,11, 71mt, 1,"Piantini, Santo Domingo De Guzmán","US$ 90,000", 1,Venta,18.4772093,-69.8949479
12,12, 275mt, 3,"Piantini, Santo Domingo De Guzmán","US$ 465,000", 3,Venta,18.4772093,-69.8949479
13,13, 260mt, 3,"Piantini, Santo Domingo De Guzmán","US$ 480,000", 3,Venta,18.4772093,-69.8949479
14,14, 275mt, 3,"Piantini, Santo Domingo De Guzmán","US$ 550,000", 3,Venta,18.4772093,-69.8949479
15,15, 275mt, 3,"Piantini, Santo Domingo De Guzmán","US$ 526,000", 3,Venta,18.4772093,-69.8949479
16,16,Unknown,Unknown,"Piantini, Santo Domingo De Guzmán","US$ 480,000",Unknown,Venta,18.4772093,-69.8949479
17,17, 176mt, 2,"Ensanche Naco, Santo Domingo De Guzmán","US$ 158,400", 2,Venta,18.48063285,-69.9245812964471
18,18, 306mt, 3,"Ensanche Naco, Santo Domingo De Guzmán","US$ 340,000", 3,Venta,18.48063285,-69.9245812964471
19,19, 138mt, 3,"Arroyo Hondo, Santo Domingo De Guzmán","RD$ 4,000,000", 3,Venta,18.5051048,-69.931862
20,20, 305mt, 3,"Ensanche Naco, Santo Domingo De Guzmán","RD$ 15,500,000", 3,Venta,18.48063285,-69.9245812964471
21,21, 142mt, 2,"Renacimiento, Santo Domingo De Guzmán","RD$ 35,000", 3,Alquiler Línea Blanca,18.44677475,-69.9683024115298
22,22, 231mt, 3,"Bella Vista, Santo Domingo De Guzmán","RD$ 45,000", 3,Alquiler,18.4522046,-69.9484723
23,23, 225mt, 3,"Evaristo Morales, Santo Domingo De Guzmán",US$ 950, 3,Alquiler,18.4651751,-69.9412137
24,24, 175mt, 3,"Las Palomas Arriba, Licey Al Medio","RD$ 6,000,000", 4,Venta,null,null
25,25, 133mt, 2,"Residencial Los Corales, Santo Domingo Este","RD$ 5,200,000", 3,Venta,18.5194824,-69.7987827
26,26, 133mt, 2,"Residencial Los Corales, Santo Domingo Este","RD$ 5,200,000", 3,Venta,18.5194824,-69.7987827
27,27, 113mt, 2,"Residencial Los Corales, Santo Domingo Este","RD$ 4,400,000", 3,Venta,18.5194824,-69.7987827
28,28, 134mt, 2,"Ensanche Naco, Santo Domingo De Guzmán","RD$ 5,995,000", 3,Venta,18.48063285,-69.9245812964471
